Ссылка на товар	Ссылка на картинку	Хлебные крошки	Название	Артикул	Цена	Оффер для цены	Описание
https://goldapple.ru/10043-19000009519-olympea-blossom#sku=19000009520	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/3/3/3349668588688_1_0foanetirjv8lucp.jpg	Главная/парфюмерия/новинки	PACO RABANNE olympea blossom	19000009520	5 170 ₽	 	Olympea Blossom – цветочная волна Новое творение от Paco Rabanne – парфюмерная вода Olympéa Blossom. Божественный контраст изобилия цветочных нот и абсолютной чувственности. Едва уловимые перечные оттенки свежесрезанных роз сменяются нотами груши, сорбета и черной смородины в сердце, пробуждая беззаботность молодости и пьянящее предчувствие новых ощущений. За воздушной легкостью следует непреодолимо манящий и кокетливый контраст: слияние нежного аккорда ванили и древесных нот кашмерана. Идеальное сочетание, оставляющее мягкий и чувственный мускусный шлейф. Эта двойственность рождает цветочно-фруктовую композицию – символ вибрирующей и спонтанной женственности. Аромат, излучающий счастье, ода жизненному изобилию и обаянию – такой же игристый, как и розовое шампанское... и просто неотразимый. Новый аромат – это ода женственности. Чувственной, захватывающей и одновременно бесконечной.
https://goldapple.ru/10043-19000009519-olympea-blossom	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/3/3/3349668588688_1_0foanetirjv8lucp.jpg	Главная/парфюмерия/новинки	PACO RABANNE olympea blossom	19000009519	7 450 ₽	 	Olympea Blossom – цветочная волна Новое творение от Paco Rabanne – парфюмерная вода Olympéa Blossom. Божественный контраст изобилия цветочных нот и абсолютной чувственности. Едва уловимые перечные оттенки свежесрезанных роз сменяются нотами груши, сорбета и черной смородины в сердце, пробуждая беззаботность молодости и пьянящее предчувствие новых ощущений. За воздушной легкостью следует непреодолимо манящий и кокетливый контраст: слияние нежного аккорда ванили и древесных нот кашмерана. Идеальное сочетание, оставляющее мягкий и чувственный мускусный шлейф. Эта двойственность рождает цветочно-фруктовую композицию – символ вибрирующей и спонтанной женственности. Аромат, излучающий счастье, ода жизненному изобилию и обаянию – такой же игристый, как и розовое шампанское... и просто неотразимый. Новый аромат – это ода женственности. Чувственной, захватывающей и одновременно бесконечной.
https://goldapple.ru/10006-7201000012-3-l-imperatrice	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/3/4/3423222015589_1_yj24azfvq89blfz7.jpg	Главная	DOLCE&GABBANA l’imperatrice eau de toilette	7201000012	2 649 ₽	По специальному предложению	Туалетная вода L'Imperatrice от известного итальянского бренда DOLCE & GABBANA - воплощение женской чувственности, нежности и тайны, которую стремится узнать каждый мужчина. Эксклюзивная туалетная вода для роскошных дам Образ, вдохновивший парфюмеров DOLCE & GABBANA на создание композиции L'Imperatrice - это молодая, независимая и эффектная женщина, обладающая магнетическим шармом, прирожденным обаянием и очаровательной харизмой, перед которой невозможно устоять. Аромат создает мягкую, но в то же время динамичную и интригующую атмосферу страсти и соблазна, завораживая и увлекая окружающих в мир сладких грез и фантазий. Туалетная вода L'Imperatrice от DOLCE&GABBAN универсальна. Она одинаково хорошо сочетается как с дневным, так и с вечерним нарядом, подчеркивая яркую индивидуальность, неотразимость и безупречное чувство стиля своей обладательницы. Верхние ноты аромата раскрываются в роскошном сочетании аккордов экзотических фруктов и розовых цветов. Затем в ансамбль плавно вступают гармоничные ноты сердца, которые проявляются в легком и свежем звучании спелого арбуза и ягод киви. Нежный и чарующий базовый шлейф, сотканный из цветочно-пряных розовых цикламенов и мускуса, наполнит утонченный аромат бодрым, весенним настроением. Идеальная гармония содержания и формы Для флакона аромата L'Imperatrice DOLCE & GABBANA парфюмеры избрали элегантную классическую форму. Флакон выполнен из прозрачного органического стекла, декорированного стильной надписью с названием композиции и бренда. Черный колпачок символизирует интригу и загадочность, которые сокрыты в бездонных глубинах женской души.
https://goldapple.ru/10006-7201000012-3-l-imperatrice#sku=7201000005	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/3/4/3423222015589_1_yj24azfvq89blfz7.jpg	Главная	DOLCE&GABBANA l’imperatrice eau de toilette	7201000005	3 775 ₽	По специальному предложению	Туалетная вода L'Imperatrice от известного итальянского бренда DOLCE & GABBANA - воплощение женской чувственности, нежности и тайны, которую стремится узнать каждый мужчина. Эксклюзивная туалетная вода для роскошных дам Образ, вдохновивший парфюмеров DOLCE & GABBANA на создание композиции L'Imperatrice - это молодая, независимая и эффектная женщина, обладающая магнетическим шармом, прирожденным обаянием и очаровательной харизмой, перед которой невозможно устоять. Аромат создает мягкую, но в то же время динамичную и интригующую атмосферу страсти и соблазна, завораживая и увлекая окружающих в мир сладких грез и фантазий. Туалетная вода L'Imperatrice от DOLCE&GABBAN универсальна. Она одинаково хорошо сочетается как с дневным, так и с вечерним нарядом, подчеркивая яркую индивидуальность, неотразимость и безупречное чувство стиля своей обладательницы. Верхние ноты аромата раскрываются в роскошном сочетании аккордов экзотических фруктов и розовых цветов. Затем в ансамбль плавно вступают гармоничные ноты сердца, которые проявляются в легком и свежем звучании спелого арбуза и ягод киви. Нежный и чарующий базовый шлейф, сотканный из цветочно-пряных розовых цикламенов и мускуса, наполнит утонченный аромат бодрым, весенним настроением. Идеальная гармония содержания и формы Для флакона аромата L'Imperatrice DOLCE & GABBANA парфюмеры избрали элегантную классическую форму. Флакон выполнен из прозрачного органического стекла, декорированного стильной надписью с названием композиции и бренда. Черный колпачок символизирует интригу и загадочность, которые сокрыты в бездонных глубинах женской души.
https://goldapple.ru/10063-26375300001-lost-cherry#sku=19760324221	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/8/8/888066082341_1_1_psppcohzfollltay.jpg	Главная/парфюмерия/нишевая парфюмерия/мужская парфюмерия	TOM FORD lost cherry	19760324221	17 300 ₽	 	Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный восточный аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.
https://goldapple.ru/10063-26375300001-lost-cherry	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/8/8/888066082341_1_1_psppcohzfollltay.jpg	Главная/парфюмерия/нишевая парфюмерия/мужская парфюмерия	TOM FORD lost cherry	26375300001	24 000 ₽	 	Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный восточный аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.
https://goldapple.ru/10063-26375300001-lost-cherry#sku=26375300002	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/8/8/888066082341_1_1_psppcohzfollltay.jpg	Главная/парфюмерия/нишевая парфюмерия/мужская парфюмерия	TOM FORD lost cherry	26375300002	37 000 ₽	 	Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный восточный аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.
https://goldapple.ru/26500100004-molecule-02	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/5/0/5060103310203_1_0tsabn7pnj6bhoec.jpg	Главная/парфюмерия/нишевая парфюмерия/мужская парфюмерия	ESCENTRIC MOLECULES molecule 02	26500100004	6 600 ₽	 	Природный афродизиак, он никого не оставляет равнодушным, все мысли и желания окружающих только о Вас. ∙ Чистый, прозрачный, он полон животной сексуальности. ∙ Аромат словно настоящий любовный эликсир - тайное средство обольщения и соблазна. ∙ 100 % Ambroxan
https://goldapple.ru/7750400015-aqua-allegoria-mandarine-basilic	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/0/4/04c07891abf5f6411734113c1379e0c9.jpg	Главная/парфюмерия/женские ароматы	GUERLAIN aqua allegoria mandarine basilic	7750400015	4 407 ₽	Со скидкой 35%	Все очарование ароматов Aqua Allegoria кроется в поэтической манере и обезоруживающей непосредственности, с которыми в них преподносятся самые естественные сочетания аккордов. Короткая формула рождает изысканный аромат изумительной свежести и глубины. Искрящийся, солнечный Mandarine-Basilic – настоящий подарок для жизнерадостных и оптимистичных натур. Он словно спелый, сочный мандарин: яркий, слегка дерзкий и соблазнительно прекрасный. Задорный цитрусовый аккорд открывает композицию: горький апельсин, клементин и флердоранж, оттененные изысканными нотами зеленого чая и плюща, вмиг поднимают настроение. В сердце аромата – восхитительный дуэт мандарина и базилика, деликатно дополненный нотами ромашки и пиона. Подобно легкому облаку он окутывает теплотой и свежестью, постепенно растворяясь в обворожительной элегантности амбрового шлейфа.
https://goldapple.ru/9573-missoni#sku=82860200001	https://goldapple.ru/media/catalog/product/cache/fb5d06f7acfb2f26f85333624ccbfb5e/8/0/8011003832811_1_zm1zxgareqh2ncoe.jpg	Главная	MISSONI missoni	82860200001	2 610 ₽	Со скидкой 40%	Туалетная вода Missoni — аромат, вдохновленный ранним восходом солнца. Первыми лучами, пробивающимися сквозь облака и стремящимся напитать землю своим теплом. Неимоверно свежий, яркий и очень женственный. Missoni — настолько тонкий аромат, что носить его может неимоверно чувственная женщина, имеющая особый, женский магнетизм. Оформление флакона туалетной воды основано на мягком переливе согревающих теплых оттенков, свойственных именно этому бренду. Фруктово-цветочный аромат наполнен запахами водяной лилии, груши, апельсина, розового перца, белой фрезии, гелиотропа, пиона, белого кедра и мускуса. Всего пара капель этого прекрасного парфюма подарит прекрасное настроение на весь день!
